Date,Open,High,Low,Close
2016-07-13,215.381,215.645,214.621,215.243
2016-07-14,215.788,216.899,215.788,216.375
2016-07-15,216.513,216.905,215.579,216.174
2016-07-18,216.204,216.835,215.963,216.689
2016-07-19,216.379,216.463,215.901,216.378
2016-07-20,216.610,217.563,216.489,217.302
2016-07-21,217.291,217.456,215.975,216.517
2016-07-22,216.647,217.511,216.324,217.503
2016-07-25,217.371,217.371,216.195,216.848
2016-07-26,216.897,217.354,216.018,216.918
2016-07-27,216.981,217.498,215.907,216.658
2016-07-28,216.605,217.285,215.974,217.006
2016-07-29,216.883,217.709,216.349,217.360
2016-08-01,217.315,217.829,216.621,217.084
2016-08-02,216.994,217.020,214.758,215.703
2016-08-03,215.681,216.379,215.256,216.379
2016-08-04,216.351,216.819,215.907,216.425
2016-08-05,216.879,218.287,216.879,218.287
2016-08-08,218.376,218.544,217.785,218.089
2016-08-09,218.224,218.766,217.861,218.174
2016-08-10,218.281,218.341,217.200,217.549
2016-08-11,217.797,218.845,217.797,218.579
2016-08-12,218.374,218.628,217.942,218.405
2016-08-15,218.608,219.381,218.608,219.015
2016-08-16,218.624,218.624,217.814,217.815
2016-08-17,217.784,218.308,216.850,218.222
2016-08-18,218.190,218.703,218.046,218.702
2016-08-19,218.424,218.500,217.513,218.387
2016-08-22,218.158,218.515,217.596,218.264
2016-08-23,218.781,219.342,218.680,218.690
2016-08-24,218.509,218.666,217.125,217.544
2016-08-25,217.329,217.900,216.974,217.247
2016-08-26,217.510,218.794,216.039,216.904
2016-08-29,217.019,218.348,217.019,218.038
2016-08-30,217.945,218.227,217.041,217.612
2016-08-31,217.356,217.379,216.135,217.095
2016-09-01,217.133,217.356,215.709,217.086
2016-09-02,217.749,218.487,217.359,217.998
2016-09-06,218.161,218.657,217.510,218.648
2016-09-07,218.517,218.787,217.907,218.616
2016-09-08,218.276,218.494,217.749,218.130
2016-09-09,216.908,216.908,212.781,212.781
2016-09-12,212.086,216.330,211.912,215.904
2016-09-13,215.047,215.047,212.027,212.702
2016-09-14,212.786,214.133,211.990,212.577
2016-09-15,212.536,215.131,212.236,214.726
2016-09-16,214.648,214.648,213.120,213.916
2016-09-19,214.399,215.361,213.591,213.912
2016-09-20,214.594,215.080,213.917,213.976
2016-09-21,214.458,216.511,213.957,216.312
2016-09-22,217.094,217.999,217.094,217.718
2016-09-23,217.329,217.375,216.397,216.469
2016-09-26,215.854,215.854,214.504,214.610
2016-09-27,214.604,216.113,214.155,215.993
2016-09-28,216.185,217.240,215.179,217.137
2016-09-29,216.890,217.267,214.520,215.113
2016-09-30,215.651,217.530,215.651,216.827
2016-10-03,216.433,216.441,215.477,216.120
2016-10-04,216.337,216.546,214.401,215.049
2016-10-05,215.515,216.395,215.515,215.973
2016-10-06,215.822,216.293,215.028,216.077
2016-10-07,216.419,216.586,214.485,215.374
2016-10-10,216.039,216.960,216.039,216.366
2016-10-11,216.135,216.156,212.884,213.673
2016-10-12,213.767,214.536,213.277,213.918
2016-10-13,213.026,213.819,211.472,213.255
2016-10-14,213.968,214.919,213.298,213.298
2016-10-17,213.295,213.561,212.443,212.650
2016-10-18,213.831,214.438,213.549,213.960
2016-10-19,214.081,214.844,213.815,214.429
2016-10-20,214.251,214.718,213.344,214.134
2016-10-21,213.943,214.263,213.009,214.116
2016-10-24,214.850,215.479,214.691,215.133
2016-10-25,214.972,215.144,214.193,214.316
2016-10-26,213.697,214.573,213.159,213.943
2016-10-27,214.406,214.713,213.252,213.304
2016-10-28,213.223,214.072,211.936,212.641
2016-10-31,212.978,213.325,212.553,212.615
2016-11-01,212.868,213.145,209.785,211.172
2016-11-02,210.943,211.176,209.400,209.794
2016-11-03,209.880,210.256,208.523,208.866
2016-11-04,208.379,209.907,208.379,208.518
2016-11-07,210.059,213.200,210.059,213.152
2016-11-08,212.992,214.687,212.356,213.956
2016-11-09,213.156,217.010,212.535,216.326
2016-11-10,216.749,218.230,215.117,216.748
2016-11-11,216.271,216.592,215.249,216.445
2016-11-14,216.564,217.136,215.608,216.420
2016-11-15,216.829,218.084,216.638,218.039
2016-11-16,217.753,217.922,217.220,217.694
2016-11-17,217.861,218.806,217.665,218.712
2016-11-18,218.685,218.989,218.038,218.190
2016-11-21,218.643,219.870,218.643,219.818
2016-11-22,220.156,220.480,219.451,220.294
2016-11-23,219.855,220.472,219.451,220.472
2016-11-25,220.627,221.335,220.627,221.335
2016-11-28,221.021,221.114,220.036,220.172
2016-11-29,220.076,221.046,219.815,220.466
2016-11-30,220.497,221.410,219.881,219.881
2016-12-01,220.017,220.260,218.744,219.108
2016-12-02,219.112,219.795,218.837,219.195
2016-12-05,220.065,220.942,219.997,220.471
2016-12-06,220.726,221.278,220.221,221.223
2016-12-07,221.072,224.163,220.893,224.135
2016-12-08,224.113,225.169,223.757,224.619
2016-12-09,224.973,225.980,224.923,225.953
2016-12-12,225.883,226.403,225.237,225.696
2016-12-13,226.332,227.753,226.332,227.172
2016-12-14,226.835,227.620,224.844,225.328
2016-12-15,225.377,227.212,225.377,226.203
2016-12-16,226.681,226.805,225.424,225.807
2016-12-19,225.924,226.747,225.821,226.253
2016-12-20,226.650,227.256,226.614,227.076
2016-12-21,227.054,227.123,226.515,226.518
2016-12-22,226.293,226.318,225.608,226.096
2016-12-23,226.025,226.379,225.884,226.379
2016-12-27,226.623,227.382,226.615,226.888
2016-12-28,227.023,227.131,224.911,224.992
2016-12-29,224.950,225.451,224.456,224.926
2016-12-30,225.161,225.358,223.362,223.883
2017-01-03,225.157,226.388,224.513,225.783
2017-01-04,226.160,227.282,226.160,227.075
2017-01-05,226.818,227.150,226.045,226.900
2017-01-06,227.114,228.210,226.406,227.698
2017-01-09,227.359,227.549,226.890,226.890
2017-01-10,226.972,227.927,226.527,226.890
2017-01-11,226.860,227.532,226.083,227.532
2017-01-12,227.114,227.178,225.425,227.044
2017-01-13,227.274,227.868,227.151,227.464
2017-01-17,226.914,227.208,226.281,226.789
2017-01-18,226.914,227.201,226.335,227.189
2017-01-19,227.190,227.433,225.841,226.369
2017-01-20,226.996,227.696,226.501,227.131
2017-01-23,226.778,227.178,225.702,226.520
2017-01-24,226.788,228.463,226.668,228.007
2017-01-25,228.888,229.955,228.888,229.837
2017-01-26,229.863,230.099,229.408,229.668
2017-01-27,229.902,229.902,229.162,229.469
2017-01-30,228.601,228.601,226.804,228.090
2017-01-31,227.402,227.909,226.721,227.887
2017-02-01,228.559,228.914,227.244,227.955
2017-02-02,227.669,228.397,227.165,228.085
2017-02-03,228.854,229.831,228.788,229.742
2017-02-06,229.428,229.618,228.857,229.256
2017-02-07,229.587,229.940,229.016,229.308
2017-02-08,228.955,229.591,228.538,229.467
2017-02-09,229.670,231.108,229.661,230.787
2017-02-10,231.227,231.923,231.110,231.610
2017-02-13,232.172,233.158,232.142,232.825
2017-02-14,232.612,233.758,232.217,233.758
2017-02-15,233.558,235.130,233.481,234.925
2017-02-16,234.964,235.131,233.887,234.722
2017-02-17,234.301,235.116,233.958,235.116
2017-02-21,235.491,236.671,235.491,236.538
2017-02-22,236.111,236.513,235.834,236.282
2017-02-23,236.750,236.826,235.509,236.381
2017-02-24,235.573,236.734,235.287,236.734
2017-02-27,236.523,237.154,236.187,236.975
2017-02-28,236.608,236.779,235.896,236.364
2017-03-01,238.013,240.098,238.013,239.596
2017-03-02,239.475,239.475,238.017,238.192
2017-03-03,238.092,238.389,237.539,238.312
2017-03-06,237.523,237.880,236.798,237.531
2017-03-07,237.074,237.512,236.551,236.839
2017-03-08,236.981,237.309,236.101,236.298
2017-03-09,236.349,236.908,235.454,236.487
2017-03-10,237.252,237.686,236.304,237.260
2017-03-13,237.156,237.442,236.852,237.347
2017-03-14,236.855,236.855,235.818,236.545
2017-03-15,237.034,239.001,236.894,238.526
2017-03-16,238.771,238.810,237.718,238.138
2017-03-17,238.371,238.571,237.764,237.825
2017-03-20,237.824,237.955,236.966,237.347
2017-03-21,237.932,238.193,234.190,234.402
2017-03-22,234.300,235.181,233.645,234.845
2017-03-23,234.597,235.892,234.213,234.596
2017-03-24,235.042,235.622,233.574,234.398
2017-03-27,232.911,234.490,232.225,234.159
2017-03-28,233.979,236.378,233.763,235.857
2017-03-29,235.654,236.336,235.294,236.113
2017-03-30,236.131,237.042,235.858,236.806
2017-03-31,236.482,237.035,236.260,236.272
2017-04-03,236.234,236.587,234.473,235.884
2017-04-04,235.476,236.053,235.072,236.016
2017-04-05,236.659,237.836,235.052,235.295
2017-04-06,235.379,236.416,234.890,235.749
2017-04-07,235.659,236.376,235.074,235.554
2017-04-10,235.716,236.637,235.150,235.716
2017-04-11,235.392,235.522,233.725,235.378
2017-04-12,235.215,235.272,234.118,234.493
2017-04-13,234.198,234.826,232.895,232.895
2017-04-17,233.262,234.914,233.251,234.901
2017-04-18,234.253,234.835,233.454,234.219
2017-04-19,234.679,235.263,233.505,233.817
2017-04-20,234.269,236.137,234.091,235.584
2017-04-21,235.474,235.618,234.451,234.869
2017-04-24,237.033,237.698,236.919,237.415
2017-04-25,238.151,239.248,238.115,238.861
2017-04-26,238.898,239.816,238.678,238.745
2017-04-27,238.970,239.210,238.268,238.877
2017-04-28,239.368,239.368,238.236,238.420
2017-05-01,238.850,239.449,238.483,238.833
2017-05-02,239.105,239.293,238.582,239.117
2017-05-03,238.650,238.982,237.975,238.813
2017-05-04,238.979,239.143,238.035,238.952
2017-05-05,239.237,239.929,238.938,239.929
2017-05-08,239.994,240.136,239.392,239.938
2017-05-09,240.158,240.387,239.244,239.692
2017-05-10,239.679,239.974,239.279,239.963
2017-05-11,239.484,239.572,238.174,239.444
2017-05-12,239.244,239.244,238.719,239.090
2017-05-15,239.398,240.405,239.394,240.232
2017-05-16,240.455,240.577,239.605,240.067
2017-05-17,238.295,238.487,235.621,235.703
2017-05-18,235.469,237.574,235.272,236.572
2017-05-19,237.137,238.906,237.043,238.173
2017-05-22,238.721,239.546,238.692,239.402
2017-05-23,239.704,240.085,239.388,239.842
2017-05-24,240.141,240.558,239.799,240.439
2017-05-25,240.954,241.871,240.801,241.507
2017-05-26,241.450,241.668,241.220,241.582
2017-05-30,241.167,241.526,240.943,241.291
2017-05-31,241.563,241.599,240.359,241.180
2017-06-01,241.565,243.006,241.354,243.006
2017-06-02,243.128,244.023,242.771,243.907
2017-06-05,243.783,243.955,243.432,243.610
2017-06-06,243.192,243.621,242.812,242.933
2017-06-07,243.203,243.528,242.475,243.314
2017-06-08,243.427,243.927,242.794,243.379
2017-06-09,243.639,244.620,241.570,243.177
2017-06-12,242.588,243.038,241.997,242.939
2017-06-13,243.415,244.149,243.128,244.035
2017-06-14,244.375,244.375,242.834,243.792
2017-06-15,242.414,243.395,241.853,243.246
2017-06-16,243.124,243.315,242.288,243.315
2017-06-19,244.255,245.382,244.179,245.346
2017-06-20,245.066,245.066,243.660,243.703
2017-06-21,243.931,244.223,243.074,243.561
2017-06-22,243.740,244.162,243.327,243.450
2017-06-23,243.465,244.140,243.111,243.830
2017-06-26,244.332,245.042,243.703,243.907
2017-06-27,243.634,244.015,241.938,241.938
2017-06-28,242.870,244.297,242.802,244.069
2017-06-29,244.238,244.273,240.570,241.970
2017-06-30,242.920,243.271,242.165,242.341
2017-07-03,243.139,243.917,242.869,242.901
2017-07-05,243.078,243.490,242.205,243.254
2017-07-06,242.344,242.428,240.770,240.975
2017-07-07,241.352,242.692,241.352,242.518
2017-07-10,242.451,243.200,242.227,242.743
2017-07-11,242.735,242.930,241.279,242.553
2017-07-12,243.575,244.576,243.575,244.325
2017-07-13,244.499,244.932,244.169,244.783
2017-07-14,244.916,246.354,244.669,245.927
2017-07-17,245.950,246.282,245.716,245.914
2017-07-18,245.588,246.092,245.034,246.061
2017-07-19,246.385,247.383,246.385,247.383
2017-07-20,247.556,247.762,246.843,247.345
2017-07-21,246.740,247.254,246.506,247.254
2017-07-24,247.204,247.310,246.632,246.991
2017-07-25,247.788,248.124,247.491,247.713
2017-07-26,247.997,248.169,247.494,247.783
2017-07-27,248.276,248.404,245.993,247.542
2017-07-28,246.912,247.353,246.466,247.210
2017-07-31,247.594,247.796,246.853,247.030
2017-08-01,247.710,247.851,247.114,247.635
2017-08-02,248.038,248.038,246.648,247.757
2017-08-03,247.603,247.603,246.885,247.216
2017-08-04,247.688,248.000,247.208,247.683
2017-08-07,247.714,248.095,247.588,248.091
2017-08-08,247.835,249.087,247.032,247.492
2017-08-09,246.535,247.441,246.208,247.402
2017-08-10,246.538,246.538,243.775,243.821
2017-08-11,244.104,244.809,243.785,244.132
2017-08-14,245.496,246.822,245.496,246.584
2017-08-15,246.866,246.890,246.161,246.461
2017-08-16,246.863,247.493,246.386,246.811
2017-08-17,246.295,246.502,243.001,243.001
2017-08-18,242.764,244.027,242.069,242.555
2017-08-21,242.550,243.058,241.735,242.837
2017-08-22,243.375,245.477,243.367,245.251
2017-08-23,244.488,244.891,244.142,244.404
2017-08-24,244.791,245.039,243.619,243.897
2017-08-25,244.472,245.396,244.222,244.305
2017-08-28,244.735,244.912,243.903,244.424
2017-08-29,243.194,244.919,242.820,244.630
2017-08-30,244.606,246.031,244.377,245.759
2017-08-31,246.265,247.501,246.265,247.165
2017-09-01,247.442,248.038,247.385,247.655
2017-09-05,247.035,247.197,244.655,245.785
2017-09-06,246.383,246.964,245.920,246.554
2017-09-07,246.806,246.862,246.029,246.510
2017-09-08,246.225,246.711,245.940,246.143
2017-09-11,247.452,248.895,247.452,248.811
2017-09-12,249.194,249.677,249.037,249.648
2017-09-13,249.389,249.837,249.214,249.837
2017-09-14,249.456,249.843,249.135,249.562
2017-09-15,249.567,250.023,249.316,250.023
2017-09-18,250.251,250.832,249.992,250.387
2017-09-19,250.629,250.784,250.319,250.665
2017-09-20,250.684,250.885,249.667,250.824
2017-09-21,250.716,250.716,249.900,250.060
2017-09-22,249.726,250.347,249.654,250.222
2017-09-25,249.939,250.254,248.803,249.666
2017-09-26,250.104,250.351,249.512,249.684
2017-09-27,250.330,251.175,249.591,250.704
2017-09-28,250.341,251.081,250.293,251.006
2017-09-29,250.996,251.944,250.799,251.936
2017-10-02,252.120,252.923,252.040,252.912
2017-10-03,253.034,253.513,252.885,253.458
2017-10-04,253.348,254.053,253.180,253.774
2017-10-05,254.086,255.251,254.002,255.207
2017-10-06,254.744,254.941,254.379,254.933
2017-10-09,255.139,255.182,254.160,254.473
2017-10-10,254.999,255.523,254.486,255.064
2017-10-11,255.062,255.524,254.795,255.524
2017-10-12,255.288,255.533,254.831,255.093
2017-10-13,255.566,255.765,255.209,255.317
2017-10-16,255.557,255.947,255.264,255.764
2017-10-17,255.717,255.971,255.469,255.936
2017-10-18,256.287,256.411,255.967,256.126
2017-10-19,255.339,256.236,254.792,256.210
2017-10-20,256.756,257.544,256.756,257.521
2017-10-23,257.808,257.829,256.433,256.498
2017-10-24,256.866,257.218,256.558,256.913
2017-10-25,256.652,256.740,254.400,255.715
2017-10-26,256.008,256.707,255.980,256.040
2017-10-27,257.026,258.298,256.594,258.107
2017-10-30,257.775,258.003,256.825,257.283
2017-10-31,257.599,257.829,257.215,257.526
2017-11-01,258.321,258.840,257.492,257.936
2017-11-02,257.946,258.111,256.617,257.985
2017-11-03,258.193,258.842,257.677,258.784
2017-11-06,258.747,259.338,258.566,259.113
2017-11-07,259.211,259.702,258.435,259.064
2017-11-08,258.871,259.547,258.502,259.438
2017-11-09,258.400,258.650,256.633,258.462
2017-11-10,258.018,258.381,257.557,258.230
2017-11-13,257.653,258.766,257.448,258.484
2017-11-14,257.775,257.966,256.656,257.887
2017-11-15,256.945,257.284,255.745,256.462
2017-11-16,257.295,259.009,257.295,258.564
2017-11-17,258.294,258.396,257.762,257.885
2017-11-20,257.949,258.464,257.824,258.214
